,AG_LEC,AG_SAL,AG_SCB,AG_STR,OP_CAN,OP_ENG,OP_ROB,OP_STR,PR_LAE,YU_FIL
AG_LEC,0.186602,0.253944,0.252909,0.048729,0.035166,0.028218,0.053048,0.035061,0.098151,0.008172
AG_SAL,0.041215,0.302077,0.044769,0.019447,0.127567,0.059958,0.115057,0.039402,0.192095,0.058416
AG_SCB,0.211653,0.230843,0.020160,0.049692,0.146789,0.071258,0.135184,0.062473,0.059756,0.012193
AG_STR,0.052126,0.128172,0.063517,0.044287,0.166753,0.142061,0.194785,0.084717,0.096545,0.027037
OP_CAN,0.026395,0.589961,0.131655,0.117008,0.006155,0.002807,0.031183,0.053474,0.010515,0.030848
OP_ENG,0.034900,0.456906,0.105311,0.164252,0.004625,0.004132,0.039384,0.132369,0.017327,0.040793
OP_ROB,0.037832,0.505571,0.115200,0.129862,0.029628,0.022710,0.020131,0.063032,0.023732,0.052303
OP_STR,0.043035,0.297980,0.091626,0.097206,0.087444,0.131364,0.108483,0.031897,0.074594,0.036371
PR_LAE,0.025860,0.311843,0.018813,0.023780,0.003691,0.003691,0.008768,0.016012,0.511387,0.076155
YU_FIL,0.007924,0.348978,0.014126,0.024507,0.039848,0.031980,0.071110,0.028731,0.280252,0.152545
