species_id,AG_LEC,AG_SAL,AG_SCB,AG_STR,OP_CAN,OP_ENG,OP_ROB,OP_STR,PR_LAE,YU_FIL
AG_LEC,0.918279569892473,0.8838709677419355,0.875268817204301,0.896774193548387,0.9290322580645162,0.9376344086021503,0.946236559139785,0.9612903225806452,0.6881720430107526,0.8344086021505377
AG_SAL,0.8838709677419355,0.8666666666666667,0.875268817204301,0.886021505376344,0.8430107526881719,0.853763440860215,0.8645161290322579,0.8860215053763438,0.610752688172043,0.7311827956989247
AG_SCB,0.875268817204301,0.875268817204301,0.9139784946236559,0.8892473118279569,0.8580645161290322,0.8698924731182794,0.8817204301075268,0.9,0.6602150537634409,0.7806451612903226
AG_STR,0.896774193548387,0.886021505376344,0.8892473118279569,0.9032258064516129,0.8645161290322579,0.8763440860215052,0.8881720430107526,0.9086021505376343,0.6559139784946235,0.7698924731182796
OP_CAN,0.9290322580645162,0.8430107526881719,0.8580645161290322,0.8645161290322579,0.9806451612903226,0.9655913978494624,0.9505376344086021,0.9397849462365593,0.9978494623655915,0.7913978494623657
OP_ENG,0.9376344086021503,0.853763440860215,0.8698924731182794,0.8763440860215052,0.9655913978494624,0.9892473118279569,0.9698924731182794,0.9569892473118278,0.9161290322580644,0.7849462365591398
OP_ROB,0.946236559139785,0.8645161290322579,0.8817204301075268,0.8881720430107526,0.9505376344086021,0.9698924731182794,0.9892473118279569,0.9741935483870966,0.8344086021505377,0.7784946236559139
OP_STR,0.9612903225806452,0.8860215053763438,0.9,0.9086021505376343,0.9397849462365593,0.9569892473118278,0.9741935483870966,1.0,0.7956989247311829,0.8021505376344086
PR_LAE,0.6881720430107526,0.610752688172043,0.6602150537634409,0.6559139784946235,0.9978494623655915,0.9161290322580644,0.8344086021505377,0.7956989247311829,0.0,0.24086021505376354
YU_FIL,0.8344086021505377,0.7311827956989247,0.7806451612903226,0.7698924731182796,0.7913978494623657,0.7849462365591398,0.7784946236559139,0.8021505376344086,0.24086021505376354,0.4645161290322581
